scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,20,0,2,4.0,NO,8,356.115,90,0.0889,102.681,10.379
Sc2,20,0,2,4.0,CAG,10,0.0,1,10.0,7.88,0.633
Sc2,20,0,2,4.0,NA,10,0.0,1,10.0,2.802,10.383
Sc2,20,0,2,8.0,NO,8,356.115,45,0.1778,102.681,10.379
Sc2,20,0,2,8.0,CAG,10,0.0,1,10.0,7.88,0.624
Sc2,20,0,2,8.0,NA,10,3.778,1,10.0,3.036,11.268
Sc2,20,0,2,12.0,NO,8,356.115,30,0.2667,102.681,10.379
Sc2,20,0,2,12.0,CAG,10,0.0,1,10.0,7.88,0.698
Sc2,20,0,2,12.0,NA,10,2.499,1,10.0,3.051,10.411
Sc2,20,0,2,16.0,NO,8,356.115,23,0.3478,102.681,10.379
Sc2,20,0,2,16.0,CAG,10,0.0,1,10.0,7.88,0.659
Sc2,20,0,2,16.0,NA,10,3.615,1,10.0,4.263,10.383
Sc2,20,0,2,1000.0,NO,8,356.115,1,8.0,102.681,10.379
Sc2,20,0,2,1000.0,CAG,10,0.0,1,10.0,7.88,1.15
Sc2,20,0,2,1000.0,NA,10,11.049,1,10.0,3.65,10.4
Sc2,20,1,2,4.0,NO,9,251.865,63,0.1429,66.053,10.365
Sc2,20,1,2,4.0,CAG,10,0.0,1,10.0,7.292,0.581
Sc2,20,1,2,4.0,NA,11,0.0,1,11.0,4.775,10.393
Sc2,20,1,2,8.0,NO,9,251.865,32,0.2812,66.053,10.365
Sc2,20,1,2,8.0,CAG,10,0.0,1,10.0,7.292,0.587
Sc2,20,1,2,8.0,NA,11,4.545,1,11.0,4.17,10.391
Sc2,20,1,2,12.0,NO,9,251.865,21,0.4286,66.053,10.365
Sc2,20,1,2,12.0,CAG,10,0.0,1,10.0,7.292,0.608
Sc2,20,1,2,12.0,NA,11,6.881,1,11.0,4.576,10.382
Sc2,20,1,2,16.0,NO,9,251.865,16,0.5625,66.053,10.365
Sc2,20,1,2,16.0,CAG,10,0.0,1,10.0,7.292,0.616
Sc2,20,1,2,16.0,NA,11,4.545,1,11.0,4.334,10.416
Sc2,20,1,2,1000.0,NO,9,251.865,1,9.0,66.053,10.365
Sc2,20,1,2,1000.0,CAG,10,0.0,1,10.0,7.292,1.086
Sc2,20,1,2,1000.0,NA,11,7.043,1,11.0,3.538,10.384
Sc2,20,2,2,4.0,NO,7,992.249,249,0.0281,301.61,10.373
Sc2,20,2,2,4.0,CAG,9,2.913,1,9.0,25.742,2.721
Sc2,20,2,2,4.0,NA,10,3.615,1,10.0,29.297,8.659
Sc2,20,2,2,8.0,NO,7,992.249,125,0.056,301.61,10.373
Sc2,20,2,2,8.0,CAG,9,2.913,1,9.0,25.742,2.698
Sc2,20,2,2,8.0,NA,10,4.853,1,10.0,21.641,7.524
Sc2,20,2,2,12.0,NO,7,992.249,83,0.0843,301.61,10.373
Sc2,20,2,2,12.0,CAG,9,11.367,1,9.0,27.992,2.757
Sc2,20,2,2,12.0,NA,9,6.073,1,9.0,2.207,10.414
Sc2,20,2,2,16.0,NO,7,992.249,63,0.1111,301.61,10.373
Sc2,20,2,2,16.0,CAG,9,11.367,1,9.0,27.992,2.791
Sc2,20,2,2,16.0,NA,10,5.969,1,10.0,4.787,10.455
Sc2,20,2,2,1000.0,NO,7,992.249,1,7.0,301.61,10.373
Sc2,20,2,2,1000.0,CAG,9,11.367,1,9.0,27.992,5.315
Sc2,20,2,2,1000.0,NA,10,34.273,1,10.0,10.105,9.664
Sc2,20,3,2,4.0,NO,8,404.535,102,0.0784,99.926,10.392
Sc2,20,3,2,4.0,CAG,9,0.0,1,9.0,43.09,3.924
Sc2,20,3,2,4.0,NA,10,3.453,1,10.0,10.258,8.303
Sc2,20,3,2,8.0,NO,8,404.535,51,0.1569,99.926,10.392
Sc2,20,3,2,8.0,CAG,9,0.0,1,9.0,43.09,3.937
Sc2,20,3,2,8.0,NA,10,6.032,1,10.0,6.268,6.219
Sc2,20,3,2,12.0,NO,8,404.535,34,0.2353,99.926,10.392
Sc2,20,3,2,12.0,CAG,9,11.367,1,9.0,44.837,3.928
Sc2,20,3,2,12.0,NA,9,2.337,1,9.0,1.946,10.45
Sc2,20,3,2,16.0,NO,8,404.535,26,0.3077,99.926,10.392
Sc2,20,3,2,16.0,CAG,9,11.367,1,9.0,44.837,4.074
Sc2,20,3,2,16.0,NA,10,13.704,1,10.0,10.85,6.985
Sc2,20,3,2,1000.0,NO,8,404.535,1,8.0,99.926,10.392
Sc2,20,3,2,1000.0,CAG,9,11.367,1,9.0,44.837,7.638
Sc2,20,3,2,1000.0,NA,10,2.314,1,10.0,6.26,3.417
Sc2,20,4,2,4.0,NO,8,524.801,132,0.0606,186.321,10.376
Sc2,20,4,2,4.0,CAG,8,0.0,1,8.0,7.713,0.67
Sc2,20,4,2,4.0,NA,10,2.313,1,10.0,4.957,10.427
Sc2,20,4,2,8.0,NO,8,524.801,66,0.1212,186.321,10.376
Sc2,20,4,2,8.0,CAG,9,5.35,1,9.0,10.162,0.642
Sc2,20,4,2,8.0,NA,10,1.157,1,10.0,4.885,10.39
Sc2,20,4,2,12.0,NO,8,524.801,44,0.1818,186.321,10.376
Sc2,20,4,2,12.0,CAG,9,8.712,1,9.0,9.804,0.622
Sc2,20,4,2,12.0,NA,10,4.545,1,10.0,4.999,10.418
Sc2,20,4,2,16.0,NO,8,524.801,33,0.2424,186.321,10.376
Sc2,20,4,2,16.0,CAG,10,15.529,1,10.0,11.744,0.613
Sc2,20,4,2,16.0,NA,10,5.701,1,10.0,4.644,10.46
Sc2,20,4,2,1000.0,NO,8,524.801,1,8.0,186.321,10.376
Sc2,20,4,2,1000.0,CAG,10,37.624,1,10.0,20.886,1.108
Sc2,20,4,2,1000.0,NA,10,8.282,1,10.0,5.315,10.463
