scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,8,0,2,4.0,NO,7,12.679,4,1.75,8.936,10.26
Sc2,8,0,2,4.0,CAG,8,1.279,1,8.0,22.925,3.681
Sc2,8,0,2,4.0,NA,8,2.683,1,8.0,37.072,3.217
Sc2,8,0,2,8.0,NO,7,12.679,2,3.5,8.936,10.26
Sc2,8,0,2,8.0,CAG,8,1.279,1,8.0,22.925,3.787
Sc2,8,0,2,8.0,NA,8,6.442,1,8.0,25.29,1.083
Sc2,8,0,2,12.0,NO,7,12.679,2,3.5,8.936,10.26
Sc2,8,0,2,12.0,CAG,8,1.279,1,8.0,22.925,3.876
Sc2,8,0,2,12.0,NA,8,11.593,1,8.0,25.38,1.956
Sc2,8,0,2,16.0,NO,7,12.679,1,7.0,8.936,10.26
Sc2,8,0,2,16.0,CAG,8,1.279,1,8.0,22.925,3.869
Sc2,8,0,2,16.0,NA,8,4.149,1,8.0,24.761,1.833
Sc2,8,0,2,1000.0,NO,7,12.679,1,7.0,8.936,10.26
Sc2,8,0,2,1000.0,CAG,8,1.279,1,8.0,22.925,7.073
Sc2,8,0,2,1000.0,NA,8,121.643,1,8.0,38.44,2.448
Sc2,8,1,2,4.0,NO,7,4.705,2,3.5,5.055,10.231
Sc2,8,1,2,4.0,CAG,8,0.0,1,8.0,5.552,1.94
Sc2,8,1,2,4.0,NA,8,3.737,1,8.0,18.327,0.83
Sc2,8,1,2,8.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,8.0,CAG,8,0.0,1,8.0,5.552,1.898
Sc2,8,1,2,8.0,NA,8,6.482,1,8.0,6.418,0.775
Sc2,8,1,2,12.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,12.0,CAG,8,0.0,1,8.0,5.552,2.067
Sc2,8,1,2,12.0,NA,8,1.197,1,8.0,21.178,2.511
Sc2,8,1,2,16.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,16.0,CAG,8,0.0,1,8.0,5.552,2.035
Sc2,8,1,2,16.0,NA,8,13.203,1,8.0,11.694,2.38
Sc2,8,1,2,1000.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,1000.0,CAG,8,0.0,1,8.0,5.552,2.958
Sc2,8,1,2,1000.0,NA,8,53.028,1,8.0,26.185,2.082
Sc2,8,2,2,4.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,4.0,CAG,8,0.0,1,8.0,5.145,1.534
Sc2,8,2,2,4.0,NA,8,2.913,1,8.0,7.753,1.877
Sc2,8,2,2,8.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,8.0,CAG,8,0.0,1,8.0,5.145,1.541
Sc2,8,2,2,8.0,NA,8,5.266,1,8.0,4.022,1.644
Sc2,8,2,2,12.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,12.0,CAG,8,0.0,1,8.0,5.145,1.666
