Mb,budget,NO_adm,NO_eff,NO_load,CAG_adm,CAG_eff,CAG_load,NA_adm,NA_eff,NA_load
8,4.0,7.1,4.24,6.0,7.7,7.7,1.0,8.0,8.0,2.9
8,8.0,7.1,6.05,6.0,7.8,7.8,2.3,8.0,8.0,6.3
8,12.0,7.1,6.75,6.0,8.0,8.0,3.3,8.0,8.0,6.0
8,16.0,7.1,7.1,6.0,8.0,8.0,3.3,8.0,8.0,10.3
8,1000.0,7.1,7.1,6.0,8.0,8.0,3.3,8.0,8.0,48.4
12,4.0,6.5,0.23,172.3,8.4,8.4,1.6,9.0,9.0,1.4
12,8.0,6.5,0.44,172.3,9.0,9.0,4.8,9.0,9.0,2.3
12,12.0,6.5,0.62,172.3,9.0,9.0,5.9,9.0,9.0,4.2
12,16.0,6.5,0.83,172.3,9.0,9.0,7.5,9.0,9.0,4.8
12,1000.0,6.5,6.5,172.3,9.0,9.0,7.5,9.0,9.0,3.7
16,4.0,6.9,0.17,265.8,8.8,8.8,0.8,9.6,9.6,1.7
16,8.0,6.9,0.33,265.8,9.1,9.1,3.0,9.8,9.8,3.4
16,12.0,6.9,0.47,265.8,9.2,9.2,9.2,9.8,9.8,5.8
16,16.0,6.9,0.63,265.8,9.3,9.3,10.9,9.8,9.8,8.3
16,1000.0,6.9,6.9,265.8,9.3,9.3,12.1,9.8,9.8,8.6
20,4.0,8.0,0.24,313.4,9.1,9.1,1.1,10.2,10.2,1.9
20,8.0,8.0,0.47,313.4,9.3,9.3,2.1,10.2,10.2,4.1
20,12.0,8.0,0.7,313.4,9.3,9.3,8.5,9.8,9.8,4.5
20,16.0,8.0,0.89,313.4,9.5,9.5,9.4,10.2,10.2,6.7
20,1000.0,8.0,8.0,313.4,9.5,9.5,13.6,10.2,10.2,12.6
