workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
dense,Sc2,8,0,1,4.0,OBL,7,12.976,4,1.75,129.469,10.24
dense,Sc2,8,0,1,4.0,JDQC,6,0.0,1,6.0,69.236,10.252
dense,Sc2,8,0,1,4.0,CAG,6,0.0,1,6.0,165.686,6.107
dense,Sc2,8,0,1,8.0,OBL,7,12.976,2,3.5,129.469,10.24
dense,Sc2,8,0,1,8.0,JDQC,6,0.0,1,6.0,69.236,10.249
dense,Sc2,8,0,1,8.0,CAG,6,0.0,1,6.0,165.686,6.013
dense,Sc2,8,0,1,16.0,OBL,7,12.976,1,7.0,129.469,10.24
dense,Sc2,8,0,1,16.0,JDQC,7,12.976,1,7.0,127.221,6.283
dense,Sc2,8,0,1,16.0,CAG,7,13.515,1,7.0,170.011,5.378
dense,Sc2,8,0,1,32.0,OBL,7,12.976,1,7.0,129.469,10.24
dense,Sc2,8,0,1,32.0,JDQC,7,12.976,1,7.0,146.844,5.758
dense,Sc2,8,0,1,32.0,CAG,7,13.515,1,7.0,170.011,6.0
dense,Sc2,8,1,1,4.0,OBL,8,0.0,1,8.0,143.559,2.869
dense,Sc2,8,1,1,4.0,JDQC,8,0.0,1,8.0,155.783,3.446
dense,Sc2,8,1,1,4.0,CAG,8,0.0,1,8.0,136.278,5.731
dense,Sc2,8,1,1,8.0,OBL,8,0.0,1,8.0,143.559,2.869
dense,Sc2,8,1,1,8.0,JDQC,8,0.0,1,8.0,155.783,2.678
dense,Sc2,8,1,1,8.0,CAG,8,0.0,1,8.0,136.278,5.799
dense,Sc2,8,1,1,16.0,OBL,8,0.0,1,8.0,143.559,2.869
dense,Sc2,8,1,1,16.0,JDQC,8,0.0,1,8.0,175.021,7.131
dense,Sc2,8,1,1,16.0,CAG,8,0.0,1,8.0,136.278,5.773
dense,Sc2,8,1,1,32.0,OBL,8,0.0,1,8.0,143.559,2.869
dense,Sc2,8,1,1,32.0,JDQC,8,0.0,1,8.0,158.248,3.489
dense,Sc2,8,1,1,32.0,CAG,8,0.0,1,8.0,136.278,5.779
dense,Sc2,8,2,1,4.0,OBL,7,0.0,1,7.0,155.67,10.24
dense,Sc2,8,2,1,4.0,JDQC,7,0.0,1,7.0,107.28,7.112
dense,Sc2,8,2,1,4.0,CAG,6,0.0,1,6.0,138.516,5.899
dense,Sc2,8,2,1,8.0,OBL,7,0.0,1,7.0,155.67,10.24
dense,Sc2,8,2,1,8.0,JDQC,7,0.0,1,7.0,107.28,7.071
dense,Sc2,8,2,1,8.0,CAG,6,0.0,1,6.0,138.516,5.885
dense,Sc2,8,2,1,16.0,OBL,7,0.0,1,7.0,155.67,10.24
dense,Sc2,8,2,1,16.0,JDQC,7,0.0,1,7.0,124.056,9.967
dense,Sc2,8,2,1,16.0,CAG,6,0.0,1,6.0,138.516,5.871
dense,Sc2,8,2,1,32.0,OBL,7,0.0,1,7.0,155.67,10.24
dense,Sc2,8,2,1,32.0,JDQC,7,0.0,1,7.0,110.234,8.948
dense,Sc2,8,2,1,32.0,CAG,7,28.912,1,7.0,148.847,5.908
dense,Sc2,8,3,1,4.0,OBL,8,50.836,13,0.6154,170.795,3.692
dense,Sc2,8,3,1,4.0,JDQC,7,0.0,1,7.0,94.926,10.248
dense,Sc2,8,3,1,4.0,CAG,7,0.0,1,7.0,131.51,5.82
dense,Sc2,8,3,1,8.0,OBL,8,50.836,7,1.1429,170.795,3.692
dense,Sc2,8,3,1,8.0,JDQC,7,0.0,1,7.0,94.926,10.243
dense,Sc2,8,3,1,8.0,CAG,7,0.0,1,7.0,131.51,5.854
dense,Sc2,8,3,1,16.0,OBL,8,50.836,4,2.0,170.795,3.692
dense,Sc2,8,3,1,16.0,JDQC,7,0.0,1,7.0,94.926,10.242
dense,Sc2,8,3,1,16.0,CAG,7,12.438,1,7.0,133.348,5.891
dense,Sc2,8,3,1,32.0,OBL,8,50.836,2,4.0,170.795,3.692
dense,Sc2,8,3,1,32.0,JDQC,8,26.493,1,8.0,157.759,1.535
dense,Sc2,8,3,1,32.0,CAG,7,12.438,1,7.0,133.348,5.808
dense,Sc2,8,4,1,4.0,OBL,8,40.013,11,0.7273,176.571,3.982
dense,Sc2,8,4,1,4.0,JDQC,7,0.0,1,7.0,105.678,10.235
dense,Sc2,8,4,1,4.0,CAG,6,0.0,1,6.0,135.024,5.872
dense,Sc2,8,4,1,8.0,OBL,8,40.013,6,1.3333,176.571,3.982
dense,Sc2,8,4,1,8.0,JDQC,7,0.0,1,7.0,105.678,10.252
dense,Sc2,8,4,1,8.0,CAG,6,0.0,1,6.0,135.024,5.89
dense,Sc2,8,4,1,16.0,OBL,8,40.013,3,2.6667,176.571,3.982
dense,Sc2,8,4,1,16.0,JDQC,7,0.0,1,7.0,112.544,10.276
dense,Sc2,8,4,1,16.0,CAG,6,13.515,1,6.0,137.271,5.793
dense,Sc2,8,4,1,32.0,OBL,8,40.013,2,4.0,176.571,3.982
dense,Sc2,8,4,1,32.0,JDQC,8,28.11,1,8.0,165.348,5.349
dense,Sc2,8,4,1,32.0,CAG,6,13.515,1,6.0,137.271,5.816
dense,Sc2,8,5,1,4.0,OBL,8,53.53,14,0.5714,112.426,3.679
dense,Sc2,8,5,1,4.0,JDQC,7,0.0,1,7.0,79.377,10.387
dense,Sc2,8,5,1,4.0,CAG,6,0.0,1,6.0,93.138,5.265
dense,Sc2,8,5,1,8.0,OBL,8,53.53,7,1.1429,112.426,3.679
dense,Sc2,8,5,1,8.0,JDQC,7,0.0,1,7.0,79.377,10.256
dense,Sc2,8,5,1,8.0,CAG,6,0.0,1,6.0,93.138,5.268
dense,Sc2,8,5,1,16.0,OBL,8,53.53,4,2.0,112.426,3.679
dense,Sc2,8,5,1,16.0,JDQC,7,0.0,1,7.0,80.959,10.254
dense,Sc2,8,5,1,16.0,CAG,6,0.0,1,6.0,93.138,5.318
dense,Sc2,8,5,1,32.0,OBL,8,53.53,2,4.0,112.426,3.679
dense,Sc2,8,5,1,32.0,JDQC,8,25.953,1,8.0,115.823,3.991
dense,Sc2,8,5,1,32.0,CAG,6,0.0,1,6.0,93.138,5.316
dense,Sc2,8,6,1,4.0,OBL,8,51.378,13,0.6154,195.004,2.211
dense,Sc2,8,6,1,4.0,JDQC,7,0.0,1,7.0,114.994,10.273
dense,Sc2,8,6,1,4.0,CAG,7,0.0,1,7.0,151.898,5.983
dense,Sc2,8,6,1,8.0,OBL,8,51.378,7,1.1429,195.004,2.211
dense,Sc2,8,6,1,8.0,JDQC,7,0.0,1,7.0,114.994,8.804
dense,Sc2,8,6,1,8.0,CAG,7,0.0,1,7.0,151.898,5.998
dense,Sc2,8,6,1,16.0,OBL,8,51.378,4,2.0,195.004,2.211
dense,Sc2,8,6,1,16.0,JDQC,7,0.0,1,7.0,114.994,10.265
dense,Sc2,8,6,1,16.0,CAG,7,0.0,1,7.0,151.898,5.973
dense,Sc2,8,6,1,32.0,OBL,8,51.378,2,4.0,195.004,2.211
dense,Sc2,8,6,1,32.0,JDQC,8,23.269,1,8.0,168.498,1.542
dense,Sc2,8,6,1,32.0,CAG,7,0.0,1,7.0,151.898,5.988
dense,Sc2,8,7,1,4.0,OBL,8,22.735,6,1.3333,168.733,3.46
dense,Sc2,8,7,1,4.0,JDQC,7,0.0,1,7.0,97.165,10.28
dense,Sc2,8,7,1,4.0,CAG,7,0.0,1,7.0,142.519,6.059
dense,Sc2,8,7,1,8.0,OBL,8,22.735,3,2.6667,168.733,3.46
dense,Sc2,8,7,1,8.0,JDQC,7,0.0,1,7.0,97.165,10.25
dense,Sc2,8,7,1,8.0,CAG,7,0.0,1,7.0,142.519,5.983
dense,Sc2,8,7,1,16.0,OBL,8,22.735,2,4.0,168.733,3.46
dense,Sc2,8,7,1,16.0,JDQC,7,0.0,1,7.0,98.072,10.268
dense,Sc2,8,7,1,16.0,CAG,7,0.0,1,7.0,142.519,5.973
dense,Sc2,8,7,1,32.0,OBL,8,22.735,1,8.0,168.733,3.46
