workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,Sc2,8,0,1,4.0,OBL,8,6.791,2,4.0,25.843,2.457
mixed,Sc2,8,0,1,4.0,JDQC,8,2.683,1,8.0,25.937,1.627
mixed,Sc2,8,0,1,4.0,CAG,8,1.279,1,8.0,22.925,3.393
mixed,Sc2,8,0,1,8.0,OBL,8,6.791,1,8.0,25.843,2.457
mixed,Sc2,8,0,1,8.0,JDQC,8,6.567,1,8.0,31.19,1.161
mixed,Sc2,8,0,1,8.0,CAG,8,1.279,1,8.0,22.925,3.78
mixed,Sc2,8,0,1,16.0,OBL,8,6.791,1,8.0,25.843,2.457
mixed,Sc2,8,0,1,16.0,JDQC,8,5.429,1,8.0,30.271,2.025
mixed,Sc2,8,0,1,16.0,CAG,8,1.279,1,8.0,22.925,3.935
mixed,Sc2,8,0,1,32.0,OBL,8,6.791,1,8.0,25.843,2.457
mixed,Sc2,8,0,1,32.0,JDQC,8,6.442,1,8.0,29.231,2.207
mixed,Sc2,8,0,1,32.0,CAG,8,1.279,1,8.0,22.925,4.022
mixed,Sc2,8,1,1,4.0,OBL,8,0.0,1,8.0,23.482,1.274
mixed,Sc2,8,1,1,4.0,JDQC,8,0.0,1,8.0,30.101,0.85
mixed,Sc2,8,1,1,4.0,CAG,8,0.0,1,8.0,5.552,1.899
mixed,Sc2,8,1,1,8.0,OBL,8,0.0,1,8.0,23.482,1.274
mixed,Sc2,8,1,1,8.0,JDQC,8,0.0,1,8.0,26.796,0.851
mixed,Sc2,8,1,1,8.0,CAG,8,0.0,1,8.0,5.552,1.863
mixed,Sc2,8,1,1,16.0,OBL,8,0.0,1,8.0,23.482,1.274
mixed,Sc2,8,1,1,16.0,JDQC,8,14.337,1,8.0,26.894,1.047
mixed,Sc2,8,1,1,16.0,CAG,8,0.0,1,8.0,5.552,2.071
mixed,Sc2,8,1,1,32.0,OBL,8,0.0,1,8.0,23.482,1.274
mixed,Sc2,8,1,1,32.0,JDQC,8,31.898,1,8.0,28.075,0.86
mixed,Sc2,8,1,1,32.0,CAG,8,0.0,1,8.0,5.552,2.307
mixed,Sc2,8,2,1,4.0,OBL,8,39.841,10,0.8,16.093,0.851
mixed,Sc2,8,2,1,4.0,JDQC,8,2.913,1,8.0,31.062,1.516
mixed,Sc2,8,2,1,4.0,CAG,8,0.0,1,8.0,5.145,1.53
mixed,Sc2,8,2,1,8.0,OBL,8,39.841,5,1.6,16.093,0.851
mixed,Sc2,8,2,1,8.0,JDQC,8,7.062,1,8.0,5.703,0.727
mixed,Sc2,8,2,1,8.0,CAG,8,0.0,1,8.0,5.145,1.545
mixed,Sc2,8,2,1,16.0,OBL,8,39.841,3,2.6667,16.093,0.851
mixed,Sc2,8,2,1,16.0,JDQC,8,10.727,1,8.0,12.346,1.047
mixed,Sc2,8,2,1,16.0,CAG,8,0.0,1,8.0,5.145,1.654
mixed,Sc2,8,2,1,32.0,OBL,8,39.841,2,4.0,16.093,0.851
mixed,Sc2,8,2,1,32.0,JDQC,8,10.727,1,8.0,12.346,0.974
mixed,Sc2,8,2,1,32.0,CAG,8,0.0,1,8.0,5.145,1.913
mixed,Sc2,8,3,1,4.0,OBL,8,32.607,9,0.8889,20.034,1.138
mixed,Sc2,8,3,1,4.0,JDQC,8,2.746,1,8.0,11.194,2.018
mixed,Sc2,8,3,1,4.0,CAG,8,2.559,1,8.0,5.013,0.963
mixed,Sc2,8,3,1,8.0,OBL,8,32.607,5,1.6,20.034,1.138
mixed,Sc2,8,3,1,8.0,JDQC,8,7.851,1,8.0,51.935,0.902
mixed,Sc2,8,3,1,8.0,CAG,8,2.559,1,8.0,5.013,0.879
mixed,Sc2,8,3,1,16.0,OBL,8,32.607,3,2.6667,20.034,1.138
mixed,Sc2,8,3,1,16.0,JDQC,8,15.272,1,8.0,7.535,1.22
mixed,Sc2,8,3,1,16.0,CAG,8,2.559,1,8.0,5.013,1.009
mixed,Sc2,8,3,1,32.0,OBL,8,32.607,2,4.0,20.034,1.138
mixed,Sc2,8,3,1,32.0,JDQC,8,29.147,1,8.0,10.606,1.16
mixed,Sc2,8,3,1,32.0,CAG,8,2.559,1,8.0,5.013,1.184
mixed,Sc2,8,4,1,4.0,OBL,8,6.688,2,4.0,14.889,1.805
mixed,Sc2,8,4,1,4.0,JDQC,8,1.117,1,8.0,9.897,1.585
mixed,Sc2,8,4,1,4.0,CAG,7,1.117,1,7.0,4.877,1.849
mixed,Sc2,8,4,1,8.0,OBL,8,6.688,1,8.0,14.889,1.805
mixed,Sc2,8,4,1,8.0,JDQC,8,7.805,1,8.0,6.571,0.983
mixed,Sc2,8,4,1,8.0,CAG,7,5.026,1,7.0,6.601,1.838
mixed,Sc2,8,4,1,16.0,OBL,8,6.688,1,8.0,14.889,1.805
mixed,Sc2,8,4,1,16.0,JDQC,8,13.036,1,8.0,25.477,0.743
mixed,Sc2,8,4,1,16.0,CAG,8,9.411,1,8.0,8.168,2.003
mixed,Sc2,8,4,1,32.0,OBL,8,6.688,1,8.0,14.889,1.805
mixed,Sc2,8,4,1,32.0,JDQC,8,13.036,1,8.0,25.477,0.771
mixed,Sc2,8,4,1,32.0,CAG,8,9.411,1,8.0,8.168,2.25
mixed,Sc2,8,5,1,4.0,OBL,8,27.844,7,1.1429,10.284,0.762
mixed,Sc2,8,5,1,4.0,JDQC,8,3.615,1,8.0,8.578,1.209
mixed,Sc2,8,5,1,4.0,CAG,8,0.0,1,8.0,5.848,1.539
mixed,Sc2,8,5,1,8.0,OBL,8,27.844,4,2.0,10.284,0.762
mixed,Sc2,8,5,1,8.0,JDQC,8,2.499,1,8.0,21.343,1.271
mixed,Sc2,8,5,1,8.0,CAG,8,0.0,1,8.0,5.848,1.563
mixed,Sc2,8,5,1,16.0,OBL,8,27.844,2,4.0,10.284,0.762
mixed,Sc2,8,5,1,16.0,JDQC,8,0.0,1,8.0,20.622,1.354
mixed,Sc2,8,5,1,16.0,CAG,8,0.0,1,8.0,5.848,1.8
mixed,Sc2,8,5,1,32.0,OBL,8,27.844,1,8.0,10.284,0.762
mixed,Sc2,8,5,1,32.0,JDQC,8,20.13,1,8.0,8.212,0.759
mixed,Sc2,8,5,1,32.0,CAG,8,0.0,1,8.0,5.848,1.992
mixed,Sc2,8,6,1,4.0,OBL,8,4.385,2,4.0,8.934,1.611
mixed,Sc2,8,6,1,4.0,JDQC,8,0.0,1,8.0,21.753,0.698
mixed,Sc2,8,6,1,4.0,CAG,8,1.117,1,8.0,5.227,2.174
mixed,Sc2,8,6,1,8.0,OBL,8,4.385,1,8.0,8.934,1.611
mixed,Sc2,8,6,1,8.0,JDQC,8,0.0,1,8.0,21.753,0.848
mixed,Sc2,8,6,1,8.0,CAG,8,1.117,1,8.0,5.227,1.898
mixed,Sc2,8,6,1,16.0,OBL,8,4.385,1,8.0,8.934,1.611
mixed,Sc2,8,6,1,16.0,JDQC,8,13.019,1,8.0,22.353,0.976
mixed,Sc2,8,6,1,16.0,CAG,8,1.117,1,8.0,5.227,2.033
mixed,Sc2,8,6,1,32.0,OBL,8,4.385,1,8.0,8.934,1.611
mixed,Sc2,8,6,1,32.0,JDQC,8,26.065,1,8.0,23.445,1.039
mixed,Sc2,8,6,1,32.0,CAG,8,1.117,1,8.0,5.227,2.298
mixed,Sc2,8,7,1,4.0,OBL,8,16.505,5,1.6,23.059,0.814
mixed,Sc2,8,7,1,4.0,JDQC,8,3.945,1,8.0,7.911,0.831
mixed,Sc2,8,7,1,4.0,CAG,8,1.117,1,8.0,3.888,1.591
mixed,Sc2,8,7,1,8.0,OBL,8,16.505,3,2.6667,23.059,0.814
mixed,Sc2,8,7,1,8.0,JDQC,8,4.067,1,8.0,7.037,1.045
mixed,Sc2,8,7,1,8.0,CAG,8,1.117,1,8.0,3.888,1.612
mixed,Sc2,8,7,1,16.0,OBL,8,16.505,2,4.0,23.059,0.814
mixed,Sc2,8,7,1,16.0,JDQC,8,15.267,1,8.0,9.942,0.932
mixed,Sc2,8,7,1,16.0,CAG,8,1.117,1,8.0,3.888,1.716
mixed,Sc2,8,7,1,32.0,OBL,8,16.505,1,8.0,23.059,0.814
mixed,Sc2,8,7,1,32.0,JDQC,8,21.249,1,8.0,8.865,0.818
mixed,Sc2,8,7,1,32.0,CAG,8,1.117,1,8.0,3.888,1.848
mixed,Sc2,8,8,1,4.0,OBL,8,22.773,6,1.3333,10.589,1.295
mixed,Sc2,8,8,1,4.0,JDQC,8,1.279,1,8.0,9.191,1.367
mixed,Sc2,8,8,1,4.0,CAG,7,1.362,1,7.0,3.096,1.542
mixed,Sc2,8,8,1,8.0,OBL,8,22.773,3,2.6667,10.589,1.295
mixed,Sc2,8,8,1,8.0,JDQC,8,2.641,1,8.0,14.667,1.667
mixed,Sc2,8,8,1,8.0,CAG,8,6.388,1,8.0,5.128,1.554
mixed,Sc2,8,8,1,16.0,OBL,8,22.773,2,4.0,10.589,1.295
mixed,Sc2,8,8,1,16.0,JDQC,8,11.663,1,8.0,32.048,0.981
mixed,Sc2,8,8,1,16.0,CAG,8,6.388,1,8.0,5.128,1.686
mixed,Sc2,8,8,1,32.0,OBL,8,22.773,1,8.0,10.589,1.295
mixed,Sc2,8,8,1,32.0,JDQC,8,12.942,1,8.0,32.134,0.98
mixed,Sc2,8,8,1,32.0,CAG,8,6.388,1,8.0,5.128,1.93
mixed,Sc2,8,9,1,4.0,OBL,8,24.59,7,1.1429,15.612,1.908
mixed,Sc2,8,9,1,4.0,JDQC,8,2.913,1,8.0,10.081,5.228
