workload,Mb,seed,loss_db,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,8,0,0.5,8.0,OBL,8,6.791,1,8.0,25.843,2.33
mixed,8,0,0.5,8.0,JDQC,8,6.567,1,8.0,31.19,1.2
mixed,8,0,0.5,8.0,CAG,8,1.279,1,8.0,22.925,3.387
mixed,8,0,1.0,8.0,OBL,8,24.595,4,2.0,47.083,1.549
mixed,8,0,1.0,8.0,JDQC,8,6.567,1,8.0,50.415,1.476
mixed,8,0,1.0,8.0,CAG,8,1.279,1,8.0,25.22,2.06
mixed,8,0,2.0,8.0,OBL,8,21.023,3,2.6667,88.248,2.764
mixed,8,0,2.0,8.0,JDQC,8,6.567,1,8.0,43.538,1.538
mixed,8,0,2.0,8.0,CAG,8,1.279,1,8.0,31.276,2.034
mixed,8,1,0.5,8.0,OBL,8,0.0,1,8.0,23.482,1.183
mixed,8,1,0.5,8.0,JDQC,8,0.0,1,8.0,26.796,0.812
mixed,8,1,0.5,8.0,CAG,8,0.0,1,8.0,5.552,1.098
mixed,8,1,1.0,8.0,OBL,8,13.739,2,4.0,11.107,1.684
mixed,8,1,1.0,8.0,JDQC,8,7.203,1,8.0,20.024,1.384
mixed,8,1,1.0,8.0,CAG,8,0.0,1,8.0,6.075,1.907
mixed,8,1,2.0,8.0,OBL,8,20.397,3,2.6667,31.254,1.39
mixed,8,1,2.0,8.0,JDQC,8,7.364,1,8.0,22.449,0.758
mixed,8,1,2.0,8.0,CAG,8,0.0,1,8.0,7.322,1.907
mixed,8,2,0.5,8.0,OBL,8,39.841,5,1.6,16.093,0.813
mixed,8,2,0.5,8.0,JDQC,8,7.062,1,8.0,5.703,0.692
mixed,8,2,0.5,8.0,CAG,8,0.0,1,8.0,5.145,1.561
mixed,8,2,1.0,8.0,OBL,8,57.827,8,1.0,29.925,1.236
mixed,8,2,1.0,8.0,JDQC,8,2.52,1,8.0,12.971,0.874
mixed,8,2,1.0,8.0,CAG,8,0.0,1,8.0,6.009,1.546
mixed,8,2,2.0,8.0,OBL,8,27.012,4,2.0,41.152,1.749
mixed,8,2,2.0,8.0,JDQC,8,4.029,1,8.0,32.317,1.467
mixed,8,2,2.0,8.0,CAG,8,0.0,1,8.0,8.617,1.55
mixed,8,3,0.5,8.0,OBL,8,32.607,5,1.6,20.034,1.149
mixed,8,3,0.5,8.0,JDQC,8,7.851,1,8.0,51.935,0.943
mixed,8,3,0.5,8.0,CAG,8,2.559,1,8.0,5.013,0.897
mixed,8,3,1.0,8.0,OBL,8,15.393,2,4.0,27.038,0.76
mixed,8,3,1.0,8.0,JDQC,8,1.238,1,8.0,12.02,1.383
mixed,8,3,1.0,8.0,CAG,8,2.559,1,8.0,6.453,0.89
